show_id,type,date_added,release_year,rating,duration,date_added_year_month,date_added_year,date_added_month,date_added_month_name,dat_added_period
s1,Movie,2021-09-25,2020,PG-13,90,2021-09,2021,9,September,2016-2022
s2,TV Show,2021-09-24,2021,TV-MA,2,2021-09,2021,9,September,2016-2022
s3,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s4,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s5,TV Show,2021-09-24,2021,TV-MA,2,2021-09,2021,9,September,2016-2022
s6,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s7,Movie,2021-09-24,2021,PG,91,2021-09,2021,9,September,2016-2022
s8,Movie,2021-09-24,1993,TV-MA,125,2021-09,2021,9,September,2016-2022
s9,TV Show,2021-09-24,2021,TV-14,9,2021-09,2021,9,September,2016-2022
s10,Movie,2021-09-24,2021,PG-13,104,2021-09,2021,9,September,2016-2022
s11,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s12,TV Show,2021-09-23,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s13,Movie,2021-09-23,2021,TV-MA,127,2021-09,2021,9,September,2016-2022
s14,Movie,2021-09-22,2021,TV-PG,91,2021-09,2021,9,September,2016-2022
s15,TV Show,2021-09-22,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s16,TV Show,2021-09-22,2021,TV-MA,4,2021-09,2021,9,September,2016-2022
s17,Movie,2021-09-22,2020,TV-MA,67,2021-09,2021,9,September,2016-2022
s18,TV Show,2021-09-22,2020,TV-MA,2,2021-09,2021,9,September,2016-2022
s19,Movie,2021-09-22,2021,TV-14,94,2021-09,2021,9,September,2016-2022
s20,TV Show,2021-09-22,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s21,TV Show,2021-09-22,2021,TV-14,1,2021-09,2021,9,September,2016-2022
s22,TV Show,2021-09-22,2018,TV-14,5,2021-09,2021,9,September,2016-2022
s23,Movie,2021-09-21,1996,TV-PG,161,2021-09,2021,9,September,2016-2022
s24,Movie,2021-09-21,2021,TV-Y,61,2021-09,2021,9,September,2016-2022
