show_id,type,date_added,release_year,rating,duration,date_added_year_month,date_added_year,date_added_month,date_added_month_name,dat_added_period
s2,TV Show,2021-09-24,2021,TV-MA,2,2021-09,2021,9,September,2016-2022
s3,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s4,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s5,TV Show,2021-09-24,2021,TV-MA,2,2021-09,2021,9,September,2016-2022
s6,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s9,TV Show,2021-09-24,2021,TV-14,9,2021-09,2021,9,September,2016-2022
s11,TV Show,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s12,TV Show,2021-09-23,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s15,TV Show,2021-09-22,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s16,TV Show,2021-09-22,2021,TV-MA,4,2021-09,2021,9,September,2016-2022
s18,TV Show,2021-09-22,2020,TV-MA,2,2021-09,2021,9,September,2016-2022
s20,TV Show,2021-09-22,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s21,TV Show,2021-09-22,2021,TV-14,1,2021-09,2021,9,September,2016-2022
s22,TV Show,2021-09-22,2018,TV-14,5,2021-09,2021,9,September,2016-2022
s26,TV Show,2021-09-21,2021,TV-14,2,2021-09,2021,9,September,2016-2022
s32,TV Show,2021-09-17,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s33,TV Show,2021-09-17,2020,TV-MA,3,2021-09,2021,9,September,2016-2022
s34,TV Show,2021-09-17,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
s35,TV Show,2021-09-17,2020,TV-Y7,1,2021-09,2021,9,September,2016-2022
s38,TV Show,2021-09-16,2018,TV-Y7,1,2021-09,2021,9,September,2016-2022
s40,TV Show,2021-09-16,2021,TV-Y7,3,2021-09,2021,9,September,2016-2022
s41,TV Show,2021-09-16,2021,TV-Y7,1,2021-09,2021,9,September,2016-2022
s48,TV Show,2021-09-16,2020,TV-MA,1,2021-09,2021,9,September,2016-2022
s50,TV Show,2021-09-15,2021,TV-MA,2,2021-09,2021,9,September,2016-2022
s51,TV Show,2021-09-15,2014,TV-PG,1,2021-09,2021,9,September,2016-2022
s56,TV Show,2021-09-15,2021,TV-PG,6,2021-09,2021,9,September,2016-2022
s66,TV Show,2021-09-15,2021,TV-Y,6,2021-09,2021,9,September,2016-2022
s67,TV Show,2021-09-15,2014,TV-G,1,2021-09,2021,9,September,2016-2022
s68,TV Show,2021-09-15,1994,TV-PG,9,2021-09,2021,9,September,2016-2022
s70,TV Show,2021-09-15,2015,TV-PG,1,2021-09,2021,9,September,2016-2022
s71,TV Show,2021-09-15,2021,TV-MA,1,2021-09,2021,9,September,2016-2022
