show_id,director
s1,Kirsten Johnson
s2,Unknown
s3,Julien Leclercq
s4,Unknown
s5,Unknown
s6,Mike Flanagan
s7,Robert Cullen
s7,José Luis Ucha
s8,Haile Gerima
s9,Andy Devonshire
s10,Theodore Melfi
s11,Unknown
s12,Kongkiat Komesiri
s13,Christian Schwochow
s14,Bruno Garotti
s15,Unknown
s16,Unknown
s17,Pedro de Echave García
s17,Pablo Azorín Williams
s18,Unknown
s19,Adam Salky
s20,Unknown
s21,Olivier Megaton
s22,Unknown
s23,K.S. Ravikumar
s24,Alex Woo
s24,Stanley Moore
s25,S. Shankar
s26,Unknown
s27,Rajiv Menon
s28,Dennis Dugan
s29,Scott Stewart
s30,Robert Luketic
s31,Ashwiny Iyer Tiwari
s31,Abhishek Chaubey
s31,Saket Chaudhary
s32,Unknown
s33,Unknown
s34,Unknown
s35,Unknown
s36,Daniel Sandu
s37,Cédric Jimenez
s38,Unknown
s39,George Nolfi
s40,Unknown
s41,Unknown
s42,Steven Spielberg
s43,Jeannot Szwarc
s44,Joe Alves
s45,Joseph Sargent
s46,Tyler Greco
s47,Daniel Espinosa
s48,Bunmi Ajakaiye
s49,Antoine Fuqua
s50,Unknown
s51,Unknown
s52,Toshiya Shinohara
s53,Toshiya Shinohara
s54,Toshiya Shinohara
s55,Toshiya Shinohara
s56,Unknown
s57,Masahiko Murata
s58,Hajime Kamegaki
s59,Masahiko Murata
s60,Hajime Kamegaki
s61,Masahiko Murata
s62,Hirotsugu Kawasaki
s63,Toshiyuki Tsuru
s64,Tensai Okamura
s65,David Yarovesky
s66,Unknown
s67,Unknown
s68,Unknown
s69,Hanns-Bruno Kammertöns
s69,Vanessa Nöcker
s69,Michael Wech
s70,Unknown
s71,Unknown
s72,David A. Vargas
s73,Unknown
s74,Kemi Adetiba
s75,Unknown
s76,Ben Simms
s77,Unknown
s78,Prakash Satam
s79,Delhiprasad Deenadayalan
s80,Delhiprasad Deenadayalan
s81,Tomer Eshed
s82,Cedric Nicolas-Troyan
s83,Unknown
s84,Unknown
s85,JJC Skillz
s85,Funke Akindele
s86,Unknown
s87,Thomas Sieben
s88,Unknown
s89,Marcus Clarke
s90,Unknown
s91,Alice Waddington
s92,Mona Achache
s92,Patricia Tourancheau
s93,Unknown
s94,Alexis Almström
s95,Raja Gosnell
s96,Unknown
s97,Stephen Kijak
s98,Unknown
s99,Unknown
s100,Unknown
s101,Unknown
s102,Chapman Way
s102,Maclain Way
s103,Jason Hehir
s104,Yemi Amodu
s105,Unknown
s106,Lijo Jose Pellissery
s107,Unknown
s108,David de Vos
s109,Unknown
s110,Unknown
s111,Luis Alfaro
s111,Javier Gómez Santander
s112,Unknown
s113,Sara Colangelo
s114,Stephen Herek
s115,Rahul Rawail
s116,Jane Campion
s117,Nagesh Kukunoor
s118,Luke Holland
s119,Shanker Raman
s120,JP Habac
s121,Unknown
s122,Unknown
s123,Jane Campion
s124,Unknown
s125,Unknown
s126,Unknown
s127,Vidhu Vinod Chopra
s128,Mark Rosman
s129,Gilles Paquet-Brenner
s130,Lasse Hallström
s131,Scott Pleydell-Pearce
s132,Ridley Scott
s133,Unknown
s134,Neill Blomkamp
s135,Phillip Noyce
s136,Renny Harlin
s137,Anthony Minghella
s138,Simon Wincer
s139,Lasse Hallström
s140,Spike Lee
s141,Sebastián Schindel
s142,Steven C. Miller
s143,Richard LaGravenese
s144,Martin Campbell
s145,Reginald Hudlin
s146,George Jackson
s146,Doug McHenry
s147,Eric Meza
s148,Unknown
s149,Gerhard Mostert
s150,Michael Martin
s151,Michael Rymer
s152,Andrew Lau Wai-keung
s152,Alan Mak
s153,Brett Weiner
s154,Unknown
s155,Unknown
s156,Jim Henson
s157,Gary Winick
s158,Danishka Esterhazy
s159,Troy Byer
s160,Pang Ho-cheung
s161,Unknown
s162,Tim Burton
s163,Reginald Hudlin
s164,David Zucker
s165,Kinka Usher
s166,Unknown
s167,Sergio Leone
s168,Matthew O'Callaghan
s168,Todd Wilderman
s169,Bobby Farrelly
s169,Peter Farrelly
s170,Wolfgang Petersen
s171,Peter Spirer
s172,Michael Carney
s173,Richard Linklater
s174,Amy Rice
s175,Antoine Fuqua
s176,Randal Kleiser
s177,Michael Ritchie
s178,J. Lee Thompson
s179,Evan Goldberg
s179,Seth Rogen
s180,Tom Shadyac
s181,Peter Segal
s182,Unknown
s183,Malcolm D. Lee
s184,Wolfgang Petersen
s185,Unknown
s186,Chapman Way
s186,Maclain Way
s187,Unknown
s188,Unknown
s189,Ramzy Bedia
s189,Éric Judor
s190,Unknown
s191,Sharan Koppisetty
s192,Taylor Sheridan
s193,Sachin Yardi
s194,Unknown
s195,Unknown
s196,Saurabh Kabra
s197,Mark Waters
s198,Unknown
s199,Kemi Adetiba
s200,Partho Mitra
s201,Santram Varma
s202,Anil V. Kumar
s202,Anurag Basu
s203,Sangeeth Sivan
s204,Umesh Ghadge
s205,Sachin Yardi
s206,David Dhawan
s207,Dibakar Banerjee
s208,Apoorva Lakhia
s209,Milan Luthria
s210,Milan Luthria
s211,Pawan Kripalani
s212,Bhushan Patel
s213,Unknown
s214,Unknown
s215,Magnus Martens
s216,Apoorva Lakhia
s217,Raj Nidimoru
s217,Krishna D.K.
s218,Milan Luthria
s219,Unknown
s220,Unknown
s221,Unknown
s222,Joshua Rofé
s223,Brad Anderson
s224,Mauricio Dias
s224,Tatiana Villela
s225,Unknown
s226,Unknown
s227,Unknown
s228,Angel Kristi Williams
s229,Roger Donaldson
s230,Christopher Alender
s231,Rush Sturges
s232,David Oyelowo
s233,Unknown
s234,Mark Lo
s235,Unknown
s236,Crystal Moselle
s237,Rathindran R Prasad
s238,Rathindran R Prasad
s239,Rathindran R Prasad
s240,Rathindran R Prasad
s241,Han Kwang Il
s242,Unknown
s243,Unknown
s244,Unknown
s245,Karim El Shenawy
s246,Unknown
s247,Yin Chen-hao
s248,Brian Andrew Mendoza
s249,Unknown
s250,Dave Needham
s251,Veronica Velasco
s252,Drake Doremus
s253,Miguel Alexandre
s254,Mani Ratnam
s255,Unknown
s256,Michael Harte
s257,Tosin Igho
s258,Mani Ratnam
s259,Alice Filippi
s260,Paakhi Tyrewala
s261,Unknown
s262,Bruno Garotti
s263,Laura Brownson
s264,Unknown
s265,Steve Brill
s266,Unknown
s267,Unknown
s268,Jane Campion
s269,Moses Inwang
s270,Unknown
s271,Ferdinando Cito Filomarino
s272,Unknown
s273,Unknown
s274,Juan Carlos Medina
s275,Unknown
s276,Unknown
s277,Inma Torrente
s278,Unknown
s279,Julián Gaviria
s280,Steven Yamamoto
s281,Unknown
s282,Charles Uwagbai
s283,Julián Hernández
s284,Sam Hobkinson
s285,Vince Marcello
s286,Jonathan Teplitzky
s287,Unknown
s288,Sakon Tiacharoen
s289,Unknown
s290,Unknown
s291,Floyd Russ
s292,Unknown
s293,Dustin Hoffman
s294,Adze Ugah
s295,Hideaki Takizawa
s296,Quoc Bao Tran
s297,Unknown
s298,Bejoy Nambiar
s298,Priyadarshan
s298,Karthik Narain
s298,Vasanth Sai
s298,Karthik Subbaraj
s298,Arvind Swamy
s298,Rathindran R Prasad
s298,Sarjun
s298,Gautham Vasudev Menon
s299,Kayode Kasum
s300,Just Philippot
s301,Kirk DeMicco
s301,Brandon Jeffords
s302,Rohit Shetty
s303,Cavi Borges
s303,Luciano Vidigal
s304,Alejandro Doria
s305,Laura Fairrie
s306,Marcelo Piñeyro
s307,Izu Ojukwu
s308,Peter Winther
s309,Susan Lacy
s310,Unknown
s311,Billy Corben
s312,Unknown
s313,Unknown
s314,Unknown
s315,James Mangold
s316,Chineze Anyaene
s317,Hsu Fu-chun
