show_id,type,title,date_added,release_year,rating,duration,date_added_year_month,date_added_year,date_added_month,date_added_month_name
s2,TV Show,Blood & Water,2021-09-24,2021,TV-MA,2,2021-09,2021,9,September
s3,TV Show,Ganglands,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September
s4,TV Show,Jailbirds New Orleans,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September
s5,TV Show,Kota Factory,2021-09-24,2021,TV-MA,2,2021-09,2021,9,September
s6,TV Show,Midnight Mass,2021-09-24,2021,TV-MA,1,2021-09,2021,9,September
s9,TV Show,The Great British Baking Show,2021-09-24,2021,TV-14,9,2021-09,2021,9,September
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021-09-24,2021,TV-MA,1,2021-09,2021,9,September
s12,TV Show,Bangkok Breaking,2021-09-23,2021,TV-MA,1,2021-09,2021,9,September
s15,TV Show,Crime Stories: India Detectives,2021-09-22,2021,TV-MA,1,2021-09,2021,9,September
s16,TV Show,Dear White People,2021-09-22,2021,TV-MA,4,2021-09,2021,9,September
s18,TV Show,Falsa identidad,2021-09-22,2020,TV-MA,2,2021-09,2021,9,September
s20,TV Show,Jaguar,2021-09-22,2021,TV-MA,1,2021-09,2021,9,September
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021-09-22,2021,TV-14,1,2021-09,2021,9,September
s22,TV Show,Resurrection: Ertugrul,2021-09-22,2018,TV-14,5,2021-09,2021,9,September
s26,TV Show,Love on the Spectrum,2021-09-21,2021,TV-14,2,2021-09,2021,9,September
s32,TV Show,Chicago Party Aunt,2021-09-17,2021,TV-MA,1,2021-09,2021,9,September
s33,TV Show,Sex Education,2021-09-17,2020,TV-MA,3,2021-09,2021,9,September
s34,TV Show,Squid Game,2021-09-17,2021,TV-MA,1,2021-09,2021,9,September
s35,TV Show,Tayo and Little Wizards,2021-09-17,2020,TV-Y7,1,2021-09,2021,9,September
s38,TV Show,Angry Birds,2021-09-16,2018,TV-Y7,1,2021-09,2021,9,September
s40,TV Show,Chhota Bheem,2021-09-16,2021,TV-Y7,3,2021-09,2021,9,September
s41,TV Show,He-Man and the Masters of the Universe,2021-09-16,2021,TV-Y7,1,2021-09,2021,9,September
s48,TV Show,The Smart Money Woman,2021-09-16,2020,TV-MA,1,2021-09,2021,9,September
s50,TV Show,Castle and Castle,2021-09-15,2021,TV-MA,2,2021-09,2021,9,September
s51,TV Show,Dharmakshetra,2021-09-15,2014,TV-PG,1,2021-09,2021,9,September
s56,TV Show,Nailed It,2021-09-15,2021,TV-PG,6,2021-09,2021,9,September
s66,TV Show,Numberblocks,2021-09-15,2021,TV-Y,6,2021-09,2021,9,September
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2021-09-15,2014,TV-G,1,2021-09,2021,9,September
s68,TV Show,Saved by the Bell,2021-09-15,1994,TV-PG,9,2021-09,2021,9,September
s70,TV Show,Stories by Rabindranath Tagore,2021-09-15,2015,TV-PG,1,2021-09,2021,9,September
s71,TV Show,Too Hot To Handle: Latino,2021-09-15,2021,TV-MA,1,2021-09,2021,9,September
s73,TV Show,Jack Whitehall: Travels with My Father,2021-09-14,2021,TV-MA,5,2021-09,2021,9,September
s75,TV Show,The World's Most Amazing Vacation Rentals,2021-09-14,2021,TV-PG,2,2021-09,2021,9,September
s77,TV Show,Yowamushi Pedal,2021-09-14,2013,TV-14,1,2021-09,2021,9,September
s83,TV Show,Lucifer,2021-09-10,2021,TV-14,6,2021-09,2021,9,September
s84,TV Show,Metal Shop Masters,2021-09-10,2021,TV-MA,1,2021-09,2021,9,September
s86,TV Show,Pokémon Master Journeys: The Series,2021-09-10,2021,TV-Y7,1,2021-09,2021,9,September
s88,TV Show,Titipo Titipo,2021-09-10,2019,TV-Y,2,2021-09,2021,9,September
s90,TV Show,Mighty Raju,2021-09-09,2017,TV-Y7,4,2021-09,2021,9,September
s93,TV Show,Into the Night,2021-09-08,2021,TV-MA,2,2021-09,2021,9,September
s96,TV Show,The Circle,2021-09-08,2021,TV-MA,3,2021-09,2021,9,September
s98,TV Show,Kid Cosmic,2021-09-07,2021,TV-Y7,2,2021-09,2021,9,September
s99,TV Show,Octonauts: Above & Beyond,2021-09-07,2021,TV-Y,1,2021-09,2021,9,September
s100,TV Show,On the Verge,2021-09-07,2021,TV-MA,1,2021-09,2021,9,September
s101,TV Show,Tobot Galaxy Detectives,2021-09-07,2019,TV-Y7,2,2021-09,2021,9,September
s103,TV Show,Countdown: Inspiration4 Mission to Space,2021-09-06,2021,TV-14,1,2021-09,2021,9,September
s105,TV Show,Tayo the Little Bus,2021-09-06,2016,TV-Y,2,2021-09,2021,9,September
s107,TV Show,Bunk'd,2021-09-05,2021,TV-G,5,2021-09,2021,9,September
s109,TV Show,Dive Club,2021-09-03,2021,TV-G,1,2021-09,2021,9,September
s110,TV Show,La casa de papel,2021-09-03,2021,TV-MA,5,2021-09,2021,9,September
s111,TV Show,Money Heist: From Tokyo to Berlin,2021-09-03,2021,TV-MA,1,2021-09,2021,9,September
s112,TV Show,Sharkdog,2021-09-03,2021,TV-Y,1,2021-09,2021,9,September
s121,TV Show,Heroes of Goo Jit Zu,2021-09-02,2021,TV-Y7,1,2021-09,2021,9,September
s122,TV Show,Hotel Del Luna,2021-09-02,2019,TV-14,1,2021-09,2021,9,September
s124,TV Show,Luv Kushh,2021-09-02,2012,TV-Y7,1,2021-09,2021,9,September
s125,TV Show,Pororo - The Little Penguin,2021-09-02,2013,TV-Y7,3,2021-09,2021,9,September
s126,TV Show,Q-Force,2021-09-02,2021,TV-MA,1,2021-09,2021,9,September
s133,TV Show,Brave Animated Series,2021-09-01,2021,TV-MA,1,2021-09,2021,9,September
s148,TV Show,How to Be a Cowboy,2021-09-01,2021,TV-PG,1,2021-09,2021,9,September
s149,TV Show,HQ Barbers,2021-09-01,2020,TV-14,1,2021-09,2021,9,September
s154,TV Show,Kid-E-Cats,2021-09-01,2016,TV-Y,2,2021-09,2021,9,September
s155,TV Show,Kuroko's Basketball,2021-09-01,2015,TV-MA,3,2021-09,2021,9,September
s161,TV Show,Major Dad,2021-09-01,1992,TV-PG,4,2021-09,2021,9,September
s166,TV Show,Oldsters,2021-09-01,2019,TV-MA,1,2021-09,2021,9,September
s182,TV Show,Turning Point: 9/11 and the War on Terror,2021-09-01,2021,TV-14,1,2021-09,2021,9,September
s185,TV Show,Sparking Joy,2021-08-31,2021,TV-PG,1,2021-08,2021,8,August
s187,TV Show,Hometown Cha-Cha-Cha,2021-08-29,2021,TV-14,1,2021-08,2021,8,August
s188,TV Show,The Ingenuity of the Househusband,2021-08-29,2021,TV-G,1,2021-08,2021,8,August
s190,TV Show,Bread Barbershop,2021-08-28,2020,TV-Y,2,2021-08,2021,8,August
s194,TV Show,D.P.,2021-08-27,2021,TV-MA,1,2021-08,2021,8,August
s195,TV Show,Deadly Sins,2021-08-27,2002,TV-MA,1,2021-08,2021,8,August
s198,TV Show,I Heart Arlo,2021-08-27,2021,TV-Y7,1,2021-08,2021,8,August
s199,TV Show,King of Boys: The Return of the King,2021-08-27,2021,TV-MA,1,2021-08,2021,8,August
s213,TV Show,Rebellion,2021-08-27,2016,TV-MA,2,2021-08,2021,8,August
s214,TV Show,RIDE ON TIME,2021-08-27,2021,TV-PG,3,2021-08,2021,8,August
s219,TV Show,Titletown High,2021-08-27,2021,TV-14,1,2021-08,2021,8,August
s220,TV Show,EDENS ZERO,2021-08-26,2021,TV-14,1,2021-08,2021,8,August
s221,TV Show,Family Reunion,2021-08-26,2021,TV-PG,4,2021-08,2021,8,August
s223,TV Show,Clickbait,2021-08-25,2021,TV-MA,1,2021-08,2021,8,August
s224,TV Show,John of God: The Crimes of a Spiritual Healer,2021-08-25,2021,TV-MA,1,2021-08,2021,8,August
s225,TV Show,Motel Makeover,2021-08-25,2021,TV-14,1,2021-08,2021,8,August
s226,TV Show,Open Your Eyes,2021-08-25,2021,TV-MA,1,2021-08,2021,8,August
s227,TV Show,Post Mortem: No One Dies in Skarnes,2021-08-25,2021,TV-MA,1,2021-08,2021,8,August
s233,TV Show,Wheel of Fortune,2021-08-25,2019,TV-G,3,2021-08,2021,8,August
s235,TV Show,Oggy Oggy,2021-08-24,2021,TV-Y,1,2021-08,2021,8,August
s242,TV Show,Manifest,2021-08-21,2021,TV-14,3,2021-08,2021,8,August
s243,TV Show,Comedy Premium League,2021-08-20,2021,TV-MA,1,2021-08,2021,8,August
s244,TV Show,Everything Will Be Fine,2021-08-20,2021,TV-MA,1,2021-08,2021,8,August
s246,TV Show,Korean Cold Noodle Rhapsody,2021-08-20,2021,TV-PG,1,2021-08,2021,8,August
s249,TV Show,The Chair,2021-08-20,2021,TV-MA,1,2021-08,2021,8,August
s255,TV Show,Go! Go! Cory Carson,2021-08-18,2021,TV-Y,5,2021-08,2021,8,August
s261,TV Show,The Defeated,2021-08-18,2020,TV-MA,1,2021-08,2021,8,August
s264,TV Show,Mother Goose Club,2021-08-16,2016,TV-Y,2,2021-08,2021,8,August
s266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2021-08-15,2018,TV-14,1,2021-08,2021,8,August
s267,TV Show,The Creative Indians,2021-08-15,2020,TV-MA,1,2021-08,2021,8,August
s270,TV Show,Winx Club,2021-08-15,2015,TV-Y7,2,2021-08,2021,8,August
s272,TV Show,Brand New Cherry Flavor,2021-08-13,2021,TV-MA,1,2021-08,2021,8,August
s273,TV Show,Fast & Furious Spy Racers,2021-08-13,2021,TV-Y7,5,2021-08,2021,8,August
s274,TV Show,Gone for Good,2021-08-13,2021,TV-MA,1,2021-08,2021,8,August
s275,TV Show,Grace and Frankie,2021-08-13,2021,TV-MA,7,2021-08,2021,8,August
s276,TV Show,The Kingdom,2021-08-13,2021,TV-MA,1,2021-08,2021,8,August
s277,TV Show,Valeria,2021-08-13,2021,TV-MA,2,2021-08,2021,8,August
s278,TV Show,AlRawabi School for Girls,2021-08-12,2021,TV-14,1,2021-08,2021,8,August
s281,TV Show,Bake Squad,2021-08-11,2021,TV-PG,1,2021-08,2021,8,August
s287,TV Show,Gabby's Dollhouse,2021-08-10,2021,TV-Y,2,2021-08,2021,8,August
s288,TV Show,I Need Romance,2021-08-10,2021,TV-14,1,2021-08,2021,8,August
s289,TV Show,Las muñecas de la mafia,2021-08-10,2018,TV-MA,1,2021-08,2021,8,August
s290,TV Show,The Crowned Clown,2021-08-10,2019,TV-14,1,2021-08,2021,8,August
s292,TV Show,SHAMAN KING,2021-08-09,2021,TV-14,1,2021-08,2021,8,August
s297,TV Show,Hit & Run,2021-08-06,2021,TV-MA,1,2021-08,2021,8,August
s298,TV Show,Navarasa,2021-08-06,2021,TV-MA,1,2021-08,2021,8,August
s310,TV Show,Car Masters: Rust to Riches,2021-08-04,2021,TV-PG,3,2021-08,2021,8,August
s311,TV Show,Cocaine Cowboys: The Kings of Miami,2021-08-04,2021,TV-MA,1,2021-08,2021,8,August
s312,TV Show,Control Z,2021-08-04,2021,TV-MA,2,2021-08,2021,8,August
s313,TV Show,Cooking With Paris,2021-08-04,2021,TV-MA,1,2021-08,2021,8,August
s314,TV Show,Autumn's Concerto,2021-08-03,2009,TV-14,1,2021-08,2021,8,August
s317,TV Show,Office Girls,2021-08-03,2011,TV-14,1,2021-08,2021,8,August
s320,TV Show,The Prince Who Turns into a Frog,2021-08-03,2005,TV-14,1,2021-08,2021,8,August
s321,TV Show,Top Secret UFO Projects: Declassified,2021-08-03,2021,TV-PG,1,2021-08,2021,8,August
s322,TV Show,Two Fathers,2021-08-03,2013,TV-14,1,2021-08,2021,8,August
s323,TV Show,You're My Destiny,2021-08-03,2008,TV-MA,1,2021-08,2021,8,August
s324,TV Show,30 Rock,2021-08-01,2012,TV-14,7,2021-08,2021,8,August
s325,TV Show,44 Cats,2021-08-01,2020,TV-Y7,3,2021-08,2021,8,August
s332,TV Show,Darwin’s Game,2021-08-01,2020,TV-MA,1,2021-08,2021,8,August
s337,TV Show,Friday Night Lights,2021-08-01,2010,TV-14,5,2021-08,2021,8,August
s339,TV Show,Hunter X Hunter (2011),2021-08-01,2014,TV-14,6,2021-08,2021,8,August
s362,TV Show,Charmed,2021-07-31,2021,TV-14,3,2021-07,2021,7,July
s365,TV Show,Centaurworld,2021-07-30,2021,TV-Y7,1,2021-07,2021,7,July
s367,TV Show,Glow Up,2021-07-30,2021,TV-14,3,2021-07,2021,7,July
s369,TV Show,Khawatir,2021-07-30,2009,TV-14,1,2021-07,2021,7,July
s370,TV Show,Myth & Mogul: John DeLorean,2021-07-30,2021,TV-14,1,2021-07,2021,7,July
s371,TV Show,Outer Banks,2021-07-30,2021,TV-MA,2,2021-07,2021,7,July
s377,TV Show,Transformers: War for Cybertron: Kingdom,2021-07-29,2021,TV-Y7,1,2021-07,2021,7,July
s380,TV Show,Tattoo Redo,2021-07-28,2021,TV-MA,1,2021-07,2021,7,July
s381,TV Show,The Flash,2021-07-28,2021,TV-14,7,2021-07,2021,7,July
s382,TV Show,The Snitch Cartel: Origins,2021-07-28,2021,TV-MA,1,2021-07,2021,7,July
s383,TV Show,All American,2021-07-27,2021,TV-14,3,2021-07,2021,7,July
s386,TV Show,How to Sell Drugs Online (Fast),2021-07-27,2021,TV-MA,3,2021-07,2021,7,July
s387,TV Show,Mighty Express,2021-07-27,2021,TV-Y,4,2021-07,2021,7,July
s389,TV Show,Plastic Cup Boyz: Laughing My Mask Off!,2021-07-27,2021,TV-MA,1,2021-07,2021,7,July
s391,TV Show,The Walking Dead,2021-07-26,2019,TV-MA,10,2021-07,2021,7,July
s392,TV Show,Wynonna Earp,2021-07-26,2020,TV-MA,4,2021-07,2021,7,July
s398,TV Show,Feels Like Ishq,2021-07-23,2021,TV-MA,1,2021-07,2021,7,July
s400,TV Show,Masters of the Universe: Revelation,2021-07-23,2021,TV-PG,1,2021-07,2021,7,July
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,2021-07-23,2021,TV-PG,1,2021-07,2021,7,July
s402,TV Show,Sky Rojo,2021-07-23,2021,TV-MA,2,2021-07,2021,7,July
s404,TV Show,The Movies That Made Us,2021-07-23,2021,TV-MA,2,2021-07,2021,7,July
s426,TV Show,Chicago Med,2021-07-22,2019,TV-14,5,2021-07,2021,7,July
s431,TV Show,Sexy Beasts,2021-07-21,2021,TV-14,1,2021-07,2021,7,July
s432,TV Show,Too Hot to Handle: Brazil,2021-07-21,2021,TV-MA,1,2021-07,2021,7,July
s435,TV Show,Okupas,2021-07-20,2020,TV-MA,1,2021-07,2021,7,July
s436,TV Show,Touch Your Heart,2021-07-20,2019,TV-MA,1,2021-07,2021,7,July
s441,TV Show,Explained,2021-07-16,2021,TV-MA,3,2021-07,2021,7,July
s443,TV Show,Johnny Test,2021-07-16,2021,TV-Y7,1,2021-07,2021,7,July
s445,TV Show,Naomi Osaka,2021-07-16,2021,TV-14,1,2021-07,2021,7,July
s454,TV Show,BEASTARS,2021-07-15,2021,TV-MA,2,2021-07,2021,7,July
s457,TV Show,Her Private Life,2021-07-15,2019,TV-14,1,2021-07,2021,7,July
s460,TV Show,Never Have I Ever,2021-07-15,2021,TV-14,2,2021-07,2021,7,July
s466,TV Show,Heist,2021-07-14,2021,TV-MA,1,2021-07,2021,7,July
s467,TV Show,My Unorthodox Life,2021-07-14,2021,TV-MA,1,2021-07,2021,7,July
s473,TV Show,Ridley Jones,2021-07-13,2021,TV-Y,1,2021-07,2021,7,July
s478,TV Show,Atypical,2021-07-09,2021,TV-14,4,2021-07,2021,7,July
s479,TV Show,Biohackers,2021-07-09,2021,TV-MA,2,2021-07,2021,7,July
s483,TV Show,How to Become a Tyrant,2021-07-09,2021,TV-MA,1,2021-07,2021,7,July
s488,TV Show,The Cook of Castamar,2021-07-09,2021,TV-MA,1,2021-07,2021,7,July
s489,TV Show,Virgin River,2021-07-09,2021,TV-14,3,2021-07,2021,7,July
s491,TV Show,Elize Matsunaga: Once Upon a Crime,2021-07-08,2021,TV-MA,1,2021-07,2021,7,July
s494,TV Show,RESIDENT EVIL: Infinite Darkness,2021-07-08,2021,TV-MA,1,2021-07,2021,7,July
s498,TV Show,Cat People,2021-07-07,2021,TV-14,1,2021-07,2021,7,July
s500,TV Show,Dogs,2021-07-07,2021,TV-PG,2,2021-07,2021,7,July
s504,TV Show,The Mire,2021-07-07,2021,TV-MA,2,2021-07,2021,7,July
s505,TV Show,The War Next-door,2021-07-07,2021,TV-MA,1,2021-07,2021,7,July
s510,TV Show,Ask the StoryBots,2021-07-06,2019,TV-Y,3,2021-07,2021,7,July
s511,TV Show,Between,2021-07-06,2016,TV-14,2,2021-07,2021,7,July
s512,TV Show,Chelsea,2021-07-06,2017,TV-MA,2,2021-07,2021,7,July
s513,TV Show,Code Lyoko,2021-07-06,2007,TV-Y7,4,2021-07,2021,7,July
s514,TV Show,Colony,2021-07-06,2018,TV-14,3,2021-07,2021,7,July
s515,TV Show,Cuckoo,2021-07-06,2019,TV-MA,5,2021-07,2021,7,July
s516,TV Show,Derry Girls,2021-07-06,2019,TV-MA,2,2021-07,2021,7,July
s517,TV Show,Girl from Nowhere,2021-07-06,2021,TV-MA,2,2021-07,2021,7,July
s518,TV Show,Good Morning Call,2021-07-06,2017,TV-14,2,2021-07,2021,7,July
s520,TV Show,I AM A KILLER,2021-07-06,2020,TV-MA,2,2021-07,2021,7,July
s521,TV Show,I Think You Should Leave with Tim Robinson,2021-07-06,2021,TV-MA,2,2021-07,2021,7,July
s522,TV Show,Kim's Convenience,2021-07-06,2021,TV-MA,5,2021-07,2021,7,July
s523,TV Show,Larva,2021-07-06,2015,TV-Y7,3,2021-07,2021,7,July
s524,TV Show,Marcella,2021-07-06,2019,TV-MA,3,2021-07,2021,7,July
s525,TV Show,Midnight Diner: Tokyo Stories,2021-07-06,2019,TV-MA,2,2021-07,2021,7,July
s526,TV Show,My Little Pony: Friendship Is Magic,2021-07-06,2018,TV-Y,8,2021-07,2021,7,July
s527,TV Show,Orange Is the New Black,2021-07-06,2019,TV-MA,7,2021-07,2021,7,July
